name,zipCode,neighborhood,councilDistrict,policeDistrict,Location 1
City Hall,21202,Downtown,11,CENTRAL,"100 Holliday Street
Baltimore, MD
"
Otterbein Church,21201,Inner Harbor,11,CENTRAL,"112 Conway Street
Baltimore, MD
"
McKim Free School,21202,Jonestown,12,SOUTHEASTERN,"1120 Baltimore Street
Baltimore, MD
"
First Unitarian Church,21201,Mount Vernon,11,CENTRAL,"2 12 West Franklin Street
Baltimore, MD
"
Ebenezer A.M.E. Church,21230,Federal Hill,11,SOUTHERN,"18 20-30 W Montgomery Street
Baltimore, MD
"
Municipal Museum of Balt (Peale Museum),21202,Downtown,11,CENTRAL,"225 Holliday Street
Baltimore, MD
"
Lovely Lane Methodist Church (First Methodist),21218,Charles Village,12,NORTHERN,"2200 St Paul Street
Baltimore, MD
"
Lloyd Street Synagogue,21202,Jonestown,12,SOUTHEASTERN,"11 Lloyd Street
Baltimore, MD
"
Bethel A.M.E. Church,21217,Upton,11,CENTRAL,"1300 Druid Hill Avenue
Baltimore, MD
"
Eutaw Place Baptist Church,21217,Madison Park,11,CENTRAL,"313 Dolphin Street
Baltimore, MD
"
Eastern Female High School,21202,Pleasant View Gardens,12,SOUTHEASTERN,"249 Aisquith Street
Baltimore, MD
"
Belvedere Hotel,21201,Mid-Town Belvedere,11,CENTRAL,"1 Chase Street
Baltimore, MD
"
Battle Monument,21202,Downtown,11,CENTRAL,
St. Paul's P.E. Church,21201,Downtown,11,CENTRAL,"233 Charles Street
Baltimore, MD
"
St.Paul's P.E. Church Rectory,21201,Downtown,11,CENTRAL,"24 Saratoga Street
Baltimore, MD
"
Cylburn House and Park,21209,Coldspring,6,NORTHERN,"4915 Greenspring Ave
Baltimore, MD
"
Davidge Hall,21201,Inner Harbor,11,CENTRAL,"522 Lombard Street
Baltimore, MD
"
Mt.Clare Station & Roundhouse,21223,Washington Village,9,SOUTHERN,"Pratt
Baltimore, MD
"
