Allendale/Irvington/S. Hilton,7,1,1,3,0,1,0,1
Beechfield/Ten Hills/West Hills,2,5,5,5,6,5,0,5
Belair-Edison,7,2,1,3,0,2,0,2
Brooklyn/Curtis Bay/Hawkins Point,0,2,8,2,2,2,3,2
Canton,5,5,6,5,7,5,2,5
Cedonia/Frankford,7,4,1,4,0,4,3,4
Cherry Hill,0,3,8,1,4,1,1,1
Chinquapin Park/Belvedere,2,5,0,5,3,5,7,5
Claremont/Armistead,0,5,8,4,4,4,6,4
Clifton-Berea,7,1,1,1,2,1,1,1
Cross-Country/Cheswolde,5,5,0,5,3,5,4,5
Dickeyville/Franklintown,5,5,0,5,3,5,4,5
Dorchester/Ashburton,1,4,9,5,5,4,3,4
Downtown/Seton Hill,5,5,2,5,1,5,4,5
Edmondson Village,1,2,9,3,5,3,0,3
Fells Point,5,5,6,5,7,5,2,5
Forest Park/Walbrook,1,3,3,3,5,3,1,3
Glen-Fallstaff,3,4,9,5,6,5,0,4
Greater Charles Village/Barclay,9,5,7,5,1,5,4,5
Greater Govans,1,1,9,3,5,3,1,3
Greater Mondawmin,1,2,2,1,5,3,1,2
Greater Roland Park/Poplar Hill,5,5,0,5,3,5,2,5
Greater Rosemont,7,1,1,2,2,1,3,1
Greenmount East,7,1,1,1,2,1,7,1
Hamilton,6,5,5,5,6,5,0,5
Harbor East/Little Italy,3,5,8,5,1,5,4,5
Harford/Echodale,6,5,5,5,8,5,0,5
Highlandtown,2,5,6,5,9,5,6,5
Howard Park/West Arlington,1,4,9,5,5,4,7,4
Inner Harbor/Federal Hill,5,5,6,5,7,5,2,5
Lauraville,1,4,5,5,6,5,0,5
Loch Raven,0,4,9,5,0,4,3,4
Madison/East End,7,1,1,1,2,1,1,1
Medfield/Hampden/Woodberry/Remington,4,5,5,5,9,5,5,5
Midtown,5,5,6,5,1,5,4,5
Midway/Coldstream,7,1,1,1,2,1,1,1
Morrell Park/Violetville,2,3,0,4,3,3,8,4
Mount Washington/Coldspring,5,5,0,5,3,5,2,5
North Baltimore/Guilford/Homeland,5,5,0,5,7,5,2,5
Northwood,1,5,9,5,0,5,3,4
Oldtown/Middle East,7,3,8,3,2,4,3,5
Orangeville/East Highlandtown,2,4,8,4,9,4,6,4
Patterson Park North & East,0,5,1,5,9,5,3,5
Penn North/Reservoir Hill,7,2,1,4,2,4,1,4
Pimlico/Arlington/Hilltop,7,1,1,1,2,3,0,1
Poppleton/The Terraces/Hollins Market,7,4,2,4,1,5,4,4
Sandtown-Winchester/Harlem Park,7,1,1,2,2,1,3,1
South Baltimore,5,5,6,5,7,5,2,5
Southeastern,2,4,0,4,3,4,6,4
Southern Park Heights,7,1,1,1,2,1,3,1
Southwest Baltimore,7,1,1,1,2,1,3,1
The Waverlies,8,3,4,4,5,4,9,4
Upton/Druid Heights,7,1,1,3,2,1,3,4
Washington Village/Pigtown,2,3,2,4,1,4,1,5
Westport/Mount Winans/Lakeland,3,1,8,3,4,1,1,1
