Neighborhood,2010,2011,2012,2013,2014
Allendale/Irvington/S. Hilton,2,1,2,1,1
Beechfield/Ten Hills/West Hills,5,5,5,5,5
Belair-Edison,3,2,3,2,2
Brooklyn/Curtis Bay/Hawkins Point,3,2,2,2,2
Canton,5,5,5,5,5
Cedonia/Frankford,4,4,4,4,4
Cherry Hill,3,3,1,1,1
Chinquapin Park/Belvedere,5,5,5,5,5
Claremont/Armistead,5,5,4,4,4
Clifton-Berea,1,1,1,1,1
Cross-Country/Cheswolde,5,5,5,5,5
Dickeyville/Franklintown,5,5,5,5,5
Dorchester/Ashburton,3,4,5,4,4
Downtown/Seton Hill,5,5,5,5,5
Edmondson Village,3,2,3,2,3
Fells Point,5,5,5,5,5
Forest Park/Walbrook,3,3,3,3,3
Glen-Fallstaff,4,4,5,5,4
Greater Charles Village/Barclay,5,5,5,5,5
Greater Govans,2,1,3,3,3
Greater Mondawmin,2,2,1,3,2
Greater Roland Park/Poplar Hill,5,5,5,5,5
Greater Rosemont,1,1,2,1,1
Greenmount East,1,1,1,1,1
Hamilton,5,5,5,4,4
Harbor East/Little Italy,5,5,5,5,5
Harford/Echodale,5,5,5,5,5
Highlandtown,5,5,5,5,5
Howard Park/West Arlington,5,4,5,4,4
Inner Harbor/Federal Hill,5,5,5,5,5
Lauraville,5,4,5,5,5
Loch Raven,5,4,4,4,4
Madison/East End,1,1,1,1,1
Medfield/Hampden/Woodberry/Remington,5,5,5,5,5
Midtown,5,5,5,5,5
Midway/Coldstream,1,1,1,1,1
Morrell Park/Violetville,4,3,4,3,4
Mount Washington/Coldspring,5,5,5,5,5
North Baltimore/Guilford/Homeland,5,5,5,5,5
Northwood,5,5,5,5,4
Oldtown/Middle East,5,3,3,4,5
Orangeville/East Highlandtown,4,4,4,4,4
Patterson Park North & East,5,5,5,5,5
Penn North/Reservoir Hill,2,2,4,4,4
Pimlico/Arlington/Hilltop,3,1,1,3,1
Poppleton/The Terraces/Hollins Market,3,4,4,5,4
Sandtown-Winchester/Harlem Park,1,1,2,1,1
South Baltimore,5,5,5,5,5
Southeastern,4,4,4,4,4
Southern Park Heights,1,1,1,1,1
Southwest Baltimore,1,1,1,1,1
The Waverlies,4,3,4,4,4
Upton/Druid Heights,1,1,3,1,4
Washington Village/Pigtown,4,3,4,4,5
Westport/Mount Winans/Lakeland,3,1,3,1,1
