CSA2010,Arts and Culture,Crime and Safety,Economic and Workforce Development,Education,Health and Human Welfare,Housing,Socioeconomic/Demographics,Sustainability
Allendale/Irvington/S. Hilton,-3,8,1102,2147,120,-166125,-11415,9
Beechfield/Ten Hills/West Hills,0,0,543,1199,84,-513983,-18262,-42
Belair-Edison,11,7,991,2707,133,-210337,-12365,3
Brooklyn/Curtis Bay/Hawkins Point,5,5,2337,1721,144,-165101,-11704,11
Canton,-1,-7,1371,-123,77,-929348,-33697,-58
Cedonia/Frankford,3,5,1332,3024,118,-333755,-11824,-9
Cherry Hill,0,13,702,1560,143,-57261,-7352,55
Chinquapin Park/Belvedere,2,0,536,657,110,-441568,-15682,-22
Claremont/Armistead,7,-1,1035,919,114,-283123,-11763,5
Clifton-Berea,-1,15,668,1584,134,-71962,-8330,70
Cross-Country/Cheswolde,3,-2,447,271,56,-395899,-19077,-52
Dickeyville/Franklintown,-2,1,111,261,94,-803090,-11753,-5
Dorchester/Ashburton,0,6,611,1326,88,-355340,-12324,-10
Downtown/Seton Hill,267,0,35747,53,171,-704044,-16156,-27
Edmondson Village,-1,4,186,1120,103,-212981,-12695,22
Fells Point,28,0,2798,25,94,-805180,-28195,-48
Forest Park/Walbrook,-1,4,315,1083,105,-177201,-12682,3
Glen-Fallstaff,6,4,3219,1033,73,-453249,-13094,-12
Greater Charles Village/Barclay,128,4,4272,576,77,-657440,-9656,15
Greater Govans,-1,4,420,1253,92,-222020,-12334,20
Greater Mondawmin,11,14,1651,1074,97,-97729,-13289,11
Greater Roland Park/Poplar Hill,6,-6,1736,51,44,-1126455,-38531,-88
Greater Rosemont,3,8,1004,3050,118,-136895,-9085,44
Greenmount East,4,15,516,1174,143,-62669,-7635,183
Hamilton,0,-1,828,1323,88,-414122,-22481,-36
Harbor East/Little Italy,35,0,9428,524,95,-861686,-13068,25
Harford/Echodale,14,-1,1074,1492,105,-479116,-18296,-35
Highlandtown,10,10,1371,307,112,-783023,-26167,-31
Howard Park/West Arlington,5,0,1460,868,82,-409112,-13426,-28
Inner Harbor/Federal Hill,410,-9,5927,208,77,-1012448,-32054,-54
Lauraville,3,-1,693,1074,98,-406265,-23401,-48
Loch Raven,-1,0,1138,1697,84,-349636,-16122,-18
Madison/East End,-4,19,508,1452,146,-120419,-9217,97
Medfield/Hampden/Woodberry/Remington,57,-1,4422,782,88,-511887,-19901,-36
Midtown,367,-6,5608,225,69,-817723,-12995,8
Midway/Coldstream,0,10,676,1437,147,-66098,-11671,54
Morrell Park/Violetville,4,-2,3862,633,92,-286819,-13306,-33
Mount Washington/Coldspring,5,-7,1171,53,65,-998428,-28143,-66
North Baltimore/Guilford/Homeland,31,-2,1741,145,46,-1209619,-28532,-73
Northwood,16,1,1295,1304,94,-390678,-19761,-29
Oldtown/Middle East,71,14,7741,1275,102,-177642,-3927,73
Orangeville/East Highlandtown,24,3,4901,909,106,-265603,-14123,7
Patterson Park North & East,16,4,582,1433,126,-574319,-19530,35
Penn North/Reservoir Hill,6,11,554,1304,119,-247713,-11262,56
Pimlico/Arlington/Hilltop,5,12,2435,1582,133,-63541,-10635,33
Poppleton/The Terraces/Hollins Market,2,15,535,681,150,-244975,-5755,43
Sandtown-Winchester/Harlem Park,-3,17,795,2233,128,-118130,-7193,124
South Baltimore,14,-11,3581,-59,105,-878270,-32648,-48
Southeastern,5,2,4470,441,91,-249493,-11291,-5
Southern Park Heights,-1,13,686,1657,123,-66930,-8000,62
Southwest Baltimore,1,16,1532,2605,140,-68943,-7069,140
The Waverlies,-3,8,887,894,106,-262817,-11276,20
Upton/Druid Heights,6,19,1830,1648,144,-176727,-4608,149
Washington Village/Pigtown,35,0,2803,497,117,-326462,-17453,-9
Westport/Mount Winans/Lakeland,3,4,1310,1046,108,-187793,-14625,5
