CSA2010,Arts and Culture,Crime and Safety,Economic and Workforce Development,Education,Health and Human Welfare,Housing,Socioeconomic/Demographics,Sustainability
Allendale/Irvington/S. Hilton,0.201005025126,0.514579759863,0.274697420949,7.28608470182,6.56934306569,9.58231377939,7.83608831349,3.57933579336
Beechfield/Ten Hills/West Hills,0.175879396985,0.445969125214,0.118180089982,4.05358686258,4.45255474453,6.88428840508,5.85741532771,1.69741697417
Belair-Edison,0.778894472362,0.844768439108,0.239845383689,9.014693172,6.56934306569,9.17072508527,7.56155357762,3.35793357934
Brooklyn/Curtis Bay/Hawkins Point,0.452261306533,1.26072041166,0.748368290983,5.65254969749,8.39416058394,9.18994530326,7.752571957,3.65313653137
Canton,0.427135678392,1.53516295026,0.311450478423,0.0,3.28467153285,3.59146572545,1.39694832967,1.10701107011
Cedonia/Frankford,0.376884422111,0.677530017153,0.349787719409,10.0,5.6204379562,7.85903288026,7.7178938851,2.91512915129
Cherry Hill,1.08040201005,0.647512864494,0.170141309169,5.01296456353,7.88321167883,8.6208616857,9.01023003121,5.27675276753
Chinquapin Park/Belvedere,0.452261306533,0.347341337907,0.113110702744,2.43301642178,5.25547445255,6.5810637299,6.60299387354,2.43542435424
Claremont/Armistead,0.427135678392,1.17066895369,0.27881629808,3.10285220398,5.76642335766,6.41945099636,7.73552190498,3.43173431734
Clifton-Berea,0.427135678392,0.424528301887,0.154933147456,5.34140017286,7.8102189781,9.99980768469,8.72760374523,5.83025830258
Cross-Country/Cheswolde,0.125628140704,0.0,0.0757239718649,1.12791702679,0.0,6.17995056365,5.62189342273,1.32841328413
Dickeyville/Franklintown,0.0502512562814,0.750428816467,0.0,1.231633535,4.74452554745,6.24948951599,7.73841174431,3.06273062731
Dorchester/Ashburton,0.276381909548,0.454545454545,0.116912743172,4.58945548833,4.81751824818,8.07468621495,7.57340191885,2.87822878229
Downtown/Seton Hill,6.65829145729,10.0,10.0,0.42783059637,10.0,5.75314633498,6.46601548954,2.25092250923
Edmondson Village,0.452261306533,0.441680960549,0.0152081617135,4.07519446845,5.6204379562,9.23022970366,7.4661888799,4.05904059041
Fells Point,1.33165829146,1.83533447684,0.746467270769,0.393258426966,4.30656934307,4.36769555356,2.98693792625,1.47601476015
Forest Park/Walbrook,0.427135678392,0.523156089194,0.0538622394018,3.88936905791,5.47445255474,8.96545677713,7.46994567102,3.35793357934
Glen-Fallstaff,0.201005025126,0.793310463122,0.763893289399,3.63439930856,1.09489051095,7.78016097922,7.35088429083,2.80442804428
Greater Charles Village/Barclay,3.26633165829,1.17495711835,1.10132437742,2.15211754538,2.99270072993,6.44691814721,8.34441105075,3.80073800738
Greater Govans,0.502512562814,0.407375643225,0.0823775426145,4.507346586,5.03649635036,9.35861713982,7.57051207953,3.9852398524
Greater Mondawmin,0.829145728643,2.31132075472,0.433749445536,3.81590319793,5.32846715328,9.2121973155,7.294532424,3.65313653137
Greater Roland Park/Poplar Hill,0.979899497487,0.368782161235,0.464165768963,0.458081244598,1.09489051095,0.489170951339,0.0,0.0
Greater Rosemont,0.477386934673,0.909090909091,0.253469361891,9.71477960242,8.02919708029,9.89836701679,8.5094208762,4.87084870849
